Parent Category	mapillary-public65	mapillary-public65-relabeled	coco-panoptic-133	coco-panoptic-133-relabeled	ade20k-150	ade20k-150-relabeled	idd-39	idd-39-relabeled	cityscapes-34	cityscapes-34-relabeled	cityscapes-19	cityscapes-19-relabeled	bdd	bdd-relabeled	nyudepthv2-37	scannet-37	sunrgbd-37	sunrgbd-37-relabeled	universal	WordNet 3.1 Synset	Defn (Most of the meanings are derived from WordNet 3.1)	Modification of WordNet Node	test-nyudepthv2-37	kitti-19	voc2012	scannet-20	camvid-11	wilddash-19	pascal-context-60
building-parent	"{Building, Phone Booth}"	building	"{building-other-merged, house, roof}"	building	"{house,building,  skyscraper,  booth,  hovel,  tower, grandstand}"	building	building	building	building	building	building	building	building	building					building	building.n.01	"a structure that has a roof and walls and stands more or less permanently in one place. Includes houses, grandstands, booths, towers, and skyscrapers."			building	background		Building	building	building
ground	"{Pothole, Parking, Road, Bike Lane, Service Lane, Crosswalk - Plain, Lane Marking - General, Lane Marking - Crosswalk}"	road	road	road	road	road	"{road, parking, drivable fallback}"	road	road	road	road	road	road	road					road	road.n.01	"a long, narrow stretch with a smoothed or paved surface, made for traveling by motor vehicle, between two or more points; street or highway. Often bounded by curbs."			road	background		Road	road	road
person-parent	Person	person	person	person	person	person	person	person	person	person	person	person	person	person	person	person	person	person	person	person.n.01	"a human being who is not a motorcyclist, bicyclist, or rider_other  (could be a motor vehicle passenger)"		person	person	person		Pedestrian	person	person
person-parent	Bicyclist	bicyclist		bicyclist		bicyclist		bicyclist	rider	bicyclist	rider	bicyclist		bicyclist	Richardrich				bicyclist	bicyclist.n.01				rider	person		Bicyclist	rider	person
person-parent	Motorcyclist	motorcyclist		motorcyclist		motorcyclist	rider	motorcyclist		motorcyclist		motorcyclist		motorcyclist					motorcyclist	motorcyclist.n.01	a human relying on a motorcycle/moped for movement. Must be actively riding the motorcycle/moped (not standing nearby it).			rider	person			rider	person
roadside-obj.	"{Traffic Sign (Back), Traffic Sign (Front), Traffic Sign Frame}"	traffic_sign	{stop sign}	traffic_sign			traffic sign	traffic_sign	traffic sign	traffic_sign	traffic sign	traffic_sign	traffic sign	traffic_sign					traffic_sign		a sign usually on the side of a street or highway bearing symbols or words of warning or direction to motorists or pedestrians			traffic sign	background		SignSymbol	traffic sign	sign
roadside-obj.	Fire Hydrant	fire_hydrant	fire hydrant	fire_hydrant															fire_hydrant	fire_hydrant.n.01	an upright hydrant for drawing water to use in fighting a fire				background				background
roadside-obj.			parking meter	parking_meter															parking_meter	parking_meter.n.01	a money-operated timer located next to a parking space; depositing money into it entitles you to park your car there for a specified length of time	yes			background				background
roadside-obj.	Bench	bench	bench	bench	bench	bench												bench	bench	bench.n.01	a long seat for more than one person	no			background				bench
roadside-obj.	Bike Rack	bike_rack																	bike_rack	bicycle_rack.n.01	a rack for parking bicycles	no			background				background
roadside-obj.	Billboard	billboard		billboard	trade name	billboard	billboard	billboard											billboard	billboard.n.01	large outdoor signboard				background				sign
	Sky	sky	sky-other-merged	sky	sky	sky	sky	sky	sky	sky	sky	sky	sky	sky					sky	sky.n.01	the atmosphere and outer space as viewed from the earth	no		sky	background		Sky	sky	sky
	"{Utility Pole, Pole}"	pole			pole	pole	"{pole, polegroup}"	pole	"{pole, polegroup}"	pole	pole	pole	pole	pole					pole	pole.n.01	a long (usually round) rod of wood or metal or plastic. includes lamp posts (excluding the light) and streetlight poles (excluding the light)	no		pole	background		Column_Pole	pole	background
structural	Fence	fence	fence-merged	fence	fence	fence	fence	fence	fence	fence	fence	fence	fence	fence					fence	fence.n.01	"a barrier, railing, or other upright structure, typically of metal, wire, or wood, enclosing an area of ground to mark a boundary, control access, or prevent escape. It is generally less sturdy than a guardrail and can be a taller, more flimsy structure."			fence	background		Fence	fence	fence
structural					"{railing, bannister}"	railing_banister													railing_banister	"railing.n.01, bannister.n.02"	a barrier consisting of a horizontal bar and supports; a railing at the side of a staircase or balcony to prevent people from falling				background				background
structural	Guard Rail	guard_rail		guard_rail		guard_rail	guard rail	guard_rail	guard rail	guard_rail									guard_rail	guardrail.n.01	"a strong fence/railing at the side of a road or in the middle of an expressway, intended to reduce the risk of serious accidents. A guardrail sits low to the ground and is made of thick horizontal metal rails."				background				background
mountain	Mountain	mountain_hill	mountain-merged	mountain_hill	"{mountain, hill}"	mountain_hill													mountain_hill						background				mountain
mountain			rock-merged	rock	rock	rock													rock	rock.n.01	a lump or mass of hard consolidated mineral matter				background				rock
sports			frisbee	frisbee															frisbee	frisbee.n.01	"a light, plastic disk propelled with a flip of the wrist for recreation or competition"	no			background				background
sports			skis	skis															skis	ski.n.01	sports equipment for skiing on snow	no			background				background
sports			snowboard	snowboard															snowboard	snowboard.n.01	a board that resembles a broad ski or a small surfboard; used in a standing position to slide down snow-covered slopes	no			background				background
